TYPE,START DATE,END DATE,USAGE,UNITS,COST,NOTES
Electric billing,2012-07-09,2012-08-06,811.78,kWh,$164.62,
Electric billing,2012-08-07,2012-09-05,778.18,kWh,$117.15,
Electric billing,2012-09-06,2012-10-04,500.86,kWh,$72.82,
Electric billing,2012-10-05,2012-11-04,356.82,kWh,$48.22,
Electric billing,2012-11-05,2012-12-05,338.95,kWh,$45.82,
Electric billing,2012-12-06,2013-01-06,420.23,kWh,$57.85,
Electric billing,2013-01-07,2013-02-05,388.59,kWh,$54.64,
Electric billing,2013-02-06,2013-03-07,326.15,kWh,$45.40,
Electric billing,2013-03-08,2013-04-07,351.38,kWh,$48.91,
Electric billing,2013-04-08,2013-05-07,312.79,kWh,$43.55,
Electric billing,2013-05-08,2013-06-06,451.65,kWh,$57.94,
Electric billing,2013-06-07,2013-07-08,941.42,kWh,$215.59,
Electric billing,2013-07-09,2013-08-06,822.43,kWh,$150.21,
Electric billing,2013-08-07,2013-09-05,644.19,kWh,$89.13,
Electric billing,2013-09-06,2013-10-06,496.27,kWh,$75.52,
Electric billing,2013-10-07,2013-11-04,325.75,kWh,$45.36,
Electric billing,2013-11-05,2013-12-05,420.78,kWh,$59.51,
Electric billing,2013-12-06,2014-01-06,617.63,kWh,$113.35,
Electric billing,2014-01-07,2014-02-05,372.70,kWh,$52.13,
Electric billing,2014-02-06,2014-03-09,401.69,kWh,$56.73,
Electric billing,2014-03-10,2014-04-07,330.00,kWh,$47.32,
Electric billing,2014-04-08,2014-05-07,381.06,kWh,$54.94,
Electric billing,2014-05-08,2014-06-08,706.32,kWh,$120.95,
Electric billing,2014-06-09,2014-07-08,632.84,kWh,$99.22,
Electric billing,2014-07-09,2014-08-07,816.23,kWh,$186.20,
Electric billing,2014-08-08,2014-09-08,565.15,kWh,$72.69,
Electric billing,2014-09-09,2014-10-07,483.81,kWh,$77.25,
Electric billing,2014-10-08,2014-11-05,384.44,kWh,$61.90,
Electric billing,2014-11-06,2014-12-07,399.61,kWh,$65.29,
Electric billing,2014-12-08,2015-01-06,544.45,kWh,$104.77,
Electric billing,2015-01-07,2015-02-05,399.17,kWh,$69.43,
Electric billing,2015-02-06,2015-03-09,292.81,kWh,$49.99,
Electric billing,2015-03-10,2015-04-07,336.73,kWh,$58.21,
Electric billing,2015-04-08,2015-05-07,317.46,kWh,$54.69,
Electric billing,2015-05-08,2015-06-08,423.76,kWh,$69.78,
Electric billing,2015-06-09,2015-07-07,984.46,kWh,$277.62,
Electric billing,2015-07-08,2015-08-06,666.02,kWh,$130.89,
Electric billing,2015-08-07,2015-09-07,533.94,kWh,$97.68,
Electric billing,2015-09-08,2015-10-06,398.63,kWh,$67.92,
Electric billing,2015-10-07,2015-11-04,349.47,kWh,$61.38,
Electric billing,2015-11-05,2015-12-07,345.74,kWh,$60.73,
Electric billing,2015-12-08,2016-01-06,435.47,kWh,$81.44,
Electric billing,2016-01-07,2016-02-04,297.16,kWh,$56.73,
Electric billing,2016-02-05,2016-03-07,303.00,kWh,$57.88,
Electric billing,2016-03-08,2016-04-05,296.59,kWh,$56.81,
Electric billing,2016-04-06,2016-05-05,317.82,kWh,$60.87,
Electric billing,2016-05-06,2016-06-06,499.45,kWh,$99.03,
Electric billing,2016-06-07,2016-07-06,530.39,kWh,$100.48,
Electric billing,2016-07-07,2016-08-07,631.15,kWh,$126.82,
Electric billing,2016-08-08,2016-09-06,530.39,kWh,$96.66,
Electric billing,2016-09-07,2016-10-05,381.89,kWh,$67.31,
Electric billing,2016-10-06,2016-11-03,277.54,kWh,$53.57,
Electric billing,2016-11-04,2016-12-05,301.87,kWh,$58.26,
Electric billing,2016-12-06,2017-01-05,309.45,kWh,$59.67,
Electric billing,2017-01-06,2017-02-05,317.79,kWh,$61.07,
Electric billing,2017-02-06,2017-03-07,319.19,kWh,$62.71,
Electric billing,2017-03-08,2017-04-05,280.94,kWh,$59.02,
Electric billing,2017-04-06,2017-05-07,318.83,kWh,$66.97,
Electric billing,2017-05-08,2017-06-06,262.47,kWh,$53.20,
Electric billing,2017-06-07,2017-07-06,773.51,kWh,$198.30,
Electric billing,2017-07-07,2017-08-06,1037.18,kWh,$263.85,
Electric billing,2017-08-07,2017-09-06,797.82,kWh,$224.97,
Electric billing,2017-09-07,2017-10-05,420.39,kWh,$80.84,
Electric billing,2017-10-06,2017-11-05,368.36,kWh,$77.92,
Electric billing,2017-11-06,2017-12-05,450.68,kWh,$103.87,
Electric billing,2017-12-06,2018-01-04,533.32,kWh,$127.93,
Electric billing,2018-01-05,2018-02-04,499.56,kWh,$117.73,
Electric billing,2018-02-05,2018-03-06,395.16,kWh,$88.99,
Electric billing,2018-03-07,2018-04-04,360.81,kWh,$82.88,
Electric billing,2018-04-05,2018-05-06,385.53,kWh,$87.31,
Electric billing,2018-05-07,2018-06-05,431.18,kWh,$94.53,
Electric billing,2018-06-06,2018-07-05,711.07,kWh,$168.55,
Electric billing,2018-07-06,2018-08-05,1066.58,kWh,$317.34,
Electric billing,2018-08-06,2018-09-05,657.35,kWh,$144.81,
Electric billing,2018-09-06,2018-10-04,445.32,kWh,$93.99,
Electric billing,2018-10-05,2018-11-05,445.35,kWh,$102.06,
Electric billing,2018-11-06,2018-12-06,538.40,kWh,$135.84,
Electric billing,2018-12-07,2019-01-06,555.33,kWh,$140.58,
Electric billing,2019-01-07,2019-02-05,413.81,kWh,$97.95,
Electric billing,2019-02-06,2019-03-07,435.72,kWh,$104.78,
Electric billing,2019-03-08,2019-04-07,397.68,kWh,$94.21,
Electric billing,2019-04-08,2019-05-07,273.28,kWh,$62.85,
Electric billing,2019-05-08,2019-06-06,438.50,kWh,$99.60,
Electric billing,2019-06-07,2019-07-08,703.90,kWh,$169.42,
Electric billing,2019-07-09,2019-08-07,897.61,kWh,$232.13,
Electric billing,2019-08-08,2019-09-08,872.25,kWh,$263.11,
Electric billing,2019-09-09,2019-10-07,477.73,kWh,$114.69,
Electric billing,2019-10-08,2019-11-05,387.29,kWh,$97.65,
Electric billing,2019-11-06,2019-12-06,459.68,kWh,$118.28,
Electric billing,2019-12-07,2020-01-06,570.15,kWh,$152.42,
Electric billing,2020-01-07,2020-02-05,483.59,kWh,$129.52,
Electric billing,2020-02-06,2020-03-08,465.91,kWh,$122.50,
Electric billing,2020-03-09,2020-04-06,431.35,kWh,$113.66,
Electric billing,2020-04-07,2020-05-06,421.44,kWh,$110.66,
Electric billing,2020-05-07,2020-06-07,613.84,kWh,$166.35,
Electric billing,2020-06-08,2020-07-06,785.73,kWh,$230.93,
Electric billing,2020-07-07,2020-08-05,980.75,kWh,$293.29,
Electric billing,2020-08-06,2020-09-03,1013.61,kWh,$348.02,
Electric billing,2020-09-04,2020-10-05,833.95,kWh,$230.63,
Electric billing,2020-10-06,2020-11-04,457.91,kWh,$125.88,
Electric billing,2020-11-05,2020-12-06,546.05,kWh,$152.87,
Electric billing,2020-12-07,2021-01-06,620.44,kWh,$178.28,
Electric billing,2021-01-07,2021-02-04,513.77,kWh,$147.95,
Electric billing,2021-02-05,2021-03-08,528.99,kWh,$152.02,
Electric billing,2021-03-09,2021-04-07,447.43,kWh,$129.86,
Electric billing,2021-04-08,2021-05-06,456.24,kWh,$133.67,
Electric billing,2021-05-07,2021-06-07,670.56,kWh,$194.50,
Electric billing,2021-06-08,2021-07-07,892.43,kWh,$246.67,
Electric billing,2021-07-08,2021-08-08,996.00,kWh,$312.63,
Electric billing,2021-08-09,2021-09-07,880.70,kWh,$262.27,
Electric billing,2021-09-08,2021-10-06,590.84,kWh,$174.73,
Electric billing,2021-10-07,2021-11-04,414.13,kWh,$119.96,
Electric billing,2021-11-05,2021-12-06,470.63,kWh,$137.20,
Electric billing,2021-12-07,2022-01-04,566.00,kWh,$174.34,
Electric billing,2022-01-05,2022-02-03,419.19,kWh,$130.98,
Electric billing,2022-02-04,2022-03-07,451.95,kWh,$144.95,
Electric billing,2022-03-08,2022-04-06,392.28,kWh,$134.70,
Electric billing,2022-04-07,2022-05-05,401.35,kWh,$129.11,
Electric billing,2022-05-06,2022-06-06,500.20,kWh,$169.46,
